ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division,Source
AM003800,Shri J C Nampui,Assam Meghalya,0,Graduate,English,Languages and Fine Arts,First,Supremo
OR006000,Shri Tu V Sekharan,Odisha,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
MH008900,Shri K S R Krishnan,Maharashtra,0,Graduate,Physics,Natural Sciences,First,Supremo
MH008900,Shri K S R Krishnan,Maharashtra,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
MH008900,Shri K S R Krishnan,Maharashtra,2,P.G.,Physics,Natural Sciences,Ordinary,Supremo
MH009100,Shri John Innocent,Maharashtra,0,Graduate,Chemistry,Natural Sciences,First,Supremo
MH009300,Shri Kg Paranjpe,Maharashtra,0,Graduate,Law,"Governance, Law and Management",Second,Supremo
MH009300,Shri Kg Paranjpe,Maharashtra,1,Graduate,Philosophy,Social Science and Liberal Arts,First,Supremo
MP008800,Shri S C Vaish,Madhya Pradesh,0,Certificate,French,Languages and Fine Arts,Ordinary,Supremo
MP008800,Shri S C Vaish,Madhya Pradesh,1,Graduate,History,Social Science and Liberal Arts,Second,Supremo
MP008800,Shri S C Vaish,Madhya Pradesh,2,Graduate,Law,"Governance, Law and Management",Ordinary,Supremo
MP008800,Shri S C Vaish,Madhya Pradesh,3,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
MP008900,Shri Mk Chaturvedi,Madhya Pradesh,0,Graduate,History,Social Science and Liberal Arts,First,Supremo
MP009000,Shri Rs Khanna,Madhya Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
MP009000,Shri Rs Khanna,Madhya Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
MP009100,Shri Nv Krishnan,Madhya Pradesh,0,Graduate,Zoology,Natural Sciences,Second,Supremo
MP009300,Shri J Swarup,Madhya Pradesh,0,Graduate,Physics,Natural Sciences,First,Supremo
MP009300,Shri J Swarup,Madhya Pradesh,1,P.G.,Physics,Natural Sciences,First,Supremo
OR006200,Shri K Srinivasan,Odisha,0,Graduate,Commerce,Finance,Third,Supremo
OR006200,Shri K Srinivasan,Odisha,1,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
RJ006000,Shri Al Roongta,Rajasthan,0,Graduate,English Lit,Languages and Fine Arts,First,Supremo
RJ006000,Shri Al Roongta,Rajasthan,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
RJ006100,Shri Rk Saxena,Rajasthan,0,Graduate,Commerce,Finance,First,Supremo
RJ006100,Shri Rk Saxena,Rajasthan,1,Graduate,Law,"Governance, Law and Management",First,Supremo
RJ006100,Shri Rk Saxena,Rajasthan,2,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
RJ006200,Shri Vc Pande,Rajasthan,0,Graduate,Physics,Natural Sciences,Second,Supremo
RJ006200,Shri Vc Pande,Rajasthan,1,P.G.,English,Languages and Fine Arts,Second,Supremo
RJ006200,Shri Vc Pande,Rajasthan,2,P.G.,Physics,Natural Sciences,Second,Supremo
TN006300,Shri Cn Raghavan,Tamil Nadu,0,P.G.,Chemistry,Natural Sciences,Second,Supremo
TN006400,Shri Tv Antony,Tamil Nadu,0,Graduate,Chemistry,Natural Sciences,First,Supremo
TN006400,Shri Tv Antony,Tamil Nadu,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
TN006500,Shri Hm Singh,Tamil Nadu,0,Diploma,Punjabi,Languages and Fine Arts,Ordinary,Supremo
TN006500,Shri Hm Singh,Tamil Nadu,1,Graduate,Political Sc.,Social Science and Liberal Arts,Ordinary,Supremo
TN006500,Shri Hm Singh,Tamil Nadu,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second,Supremo
TN006600,Ms. S Satyabhama,Tamil Nadu,0,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
TN006600,Ms. S Satyabhama,Tamil Nadu,1,P.G.,Political Sc.,Social Science and Liberal Arts,Second,Supremo
AM004000,Shri R V Lyngdoh,Assam Meghalya,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
AP008300,Shri P K Doraiswamy,Andhra Pradesh,0,Diploma,Statistics,"Engineering, Technology and Mathematics",Ordinary,Supremo
AP008300,Shri P K Doraiswamy,Andhra Pradesh,1,Graduate,Statistics,"Engineering, Technology and Mathematics",First,Supremo
AP008400,Shri K V Natarajan,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
AP008400,Shri K V Natarajan,Andhra Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
AP008500,Shri C S Sastry,Andhra Pradesh,0,Graduate,Geology,Natural Sciences,First,Supremo
AP008500,Shri C S Sastry,Andhra Pradesh,1,P.G.,English Lit,Languages and Fine Arts,First,Supremo
AP008800,Shri T Balakrishnan,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
AP008900,Shri Ajit Singh,Andhra Pradesh,0,Graduate,English,Languages and Fine Arts,Second,Supremo
AP008900,Shri Ajit Singh,Andhra Pradesh,1,P.G.,English Lit,Languages and Fine Arts,Second,Supremo
BH010400,Shri Arun Prasad,Bihar,0,Certificate,French,Languages and Fine Arts,Second,Supremo
BH010400,Shri Arun Prasad,Bihar,1,Graduate,English Lit,Languages and Fine Arts,Second,Supremo
